timestep_time,vehicle_id,vehicle_speed,vehicle_x,vehicle_y,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_PMx,vehicle_noise,vehicle_waiting,location_id,pollution_index
0,veh0,52.992,21.883644,43.322169,0.0,2416.07,0.01,0.01,65.15,0.0,0_2,0
1,veh0,48.384,21.883766,43.322087,0.0,0.0,0.0,0.0,62.09,0.0,0_2,0
1,veh1,0.0,21.915058,43.332076,164.78,2624.72,0.81,0.07,55.94,0.0,1_2,1
1,veh2,0.0,21.901992,43.312092,164.78,2624.72,0.81,0.07,55.94,0.0,1_1,1
1,veh3,0.0,21.913289,43.322951,164.78,2624.72,0.81,0.07,55.94,0.0,1_2,1
1,veh4,0.0,21.925165,43.328564,164.78,2624.72,0.81,0.07,55.94,0.0,2_2,1
2,veh0,52.632,21.883899,43.321998,83.85,6908.72,0.55,0.13,68.43,0.0,0_2,2
2,veh1,7.920000000000001,21.915058,43.332056,148.8,3640.67,0.76,0.08,66.47,0.0,1_2,1
2,veh2,7.668,21.901974,43.312106,148.39,3562.06,0.76,0.08,66.11,0.0,1_1,1
2,veh3,5.58,21.913266,43.322979,147.53,3068.49,0.74,0.07,63.35,0.0,1_2,1
